run_id,filepath,lines_parsed,parse_errors,birth,civil_war,death_battle,death_starvation,democratic_override,faction_formed,faction_merge,great_migration,holy_war,peace_incident,plague,promised_land,prophet,religion_founded,reverse_assimilation,schism,tech_civic,tech_discovered,tech_industrial,tech_martial,temple_built,treaty_broken,treaty_formed,war_declared,war_ends,world_event,war_resolution_rate,war_duration_mean,first_war_tick,first_tech_tick,first_writing_tick,disruptions_total,deaths_total,battle_death_fraction,dominant_era,era_shift,era_the_age_of_conflict,era_the_age_of_enlightenment,era_the_age_of_iron,era_the_age_of_ruin,era_the_age_of_sickness,era_the_crimson_years,era_the_golden_age,era_the_great_famine,era_the_long_peace
20260227_182207,./logs\run_20260227_182207.txt,1600117,0,2465,0,2859,2581,0,133,1073,18,14284,0,39,23,28,243,0,1096,2020,6297,3260,1014,0,410,2923,179,546,215,3.05,0.3,143,18,28,108,5440,0.526,The Age of Iron,401,38,36,174,2,2,21,0,2,45
20260227_183805,./logs\run_20260227_183805.txt,1159844,0,2491,14,2421,1381,0,82,700,11,8753,0,17,30,30,206,0,848,1609,5775,2958,1195,0,403,2972,197,586,214,2.975,0.3,108,18,23,102,3802,0.637,The Age of Iron,413,29,68,155,0,6,19,0,4,52
20260227_184654,./logs\run_20260227_184654.txt,1427499,0,2475,14,2730,1992,0,86,890,17,14005,0,19,44,39,231,0,993,1715,6253,3418,1117,0,410,3146,187,469,223,2.508,0.3,101,18,18,133,4722,0.578,The Age of Iron,414,68,57,151,0,3,12,0,0,30
20260227_190026,./logs\run_20260227_190026.txt,1410994,0,2475,9,2563,1732,0,80,806,26,11983,0,15,35,47,199,0,942,1816,5968,3141,997,0,409,3080,196,605,235,3.087,0.2,127,18,18,132,4295,0.597,The Age of Iron,397,40,40,114,0,8,18,4,5,89
20260227_191215,./logs\run_20260227_191215.txt,1506171,0,2460,0,2503,3325,0,123,915,17,10610,0,9,24,81,197,0,1019,2102,6483,3331,1049,0,375,3097,187,569,212,3.043,0.3,101,18,18,131,5828,0.429,The Age of Iron,419,50,25,195,0,2,21,0,6,43
20260227_192520,./logs\run_20260227_192520.txt,1283762,0,2464,6,2368,1703,0,88,808,40,12223,0,14,0,39,227,0,936,1727,5828,2997,1097,0,361,3064,174,577,198,3.316,0.4,98,18,18,99,4071,0.582,The Age of Iron,406,48,29,147,0,4,15,0,3,84
20260227_194550,./logs\run_20260227_194550.txt,1250048,0,2471,0,2101,4046,0,75,742,4,10632,0,8,18,55,183,0,899,1563,5544,3006,966,0,370,2984,163,592,218,3.632,0.5,120,18,18,85,6147,0.342,The Age of Iron,408,56,61,127,0,0,16,4,5,32
20260227_200448,./logs\run_20260227_200448.txt,1366438,0,2449,3,2818,1300,0,80,798,52,12008,0,17,21,16,202,0,936,1692,6092,3312,1072,0,389,2872,203,510,221,2.512,0.4,122,18,23,109,4118,0.684,The Age of Iron,383,51,73,136,0,2,12,0,14,23
20260227_201656,./logs\run_20260227_201656.txt,1163797,0,2465,7,2212,4155,0,85,715,18,10427,0,28,13,29,219,0,832,1676,5890,3012,1201,0,395,2819,177,538,247,3.04,0.1,106,18,23,95,6367,0.347,The Age of Iron,440,34,100,139,0,0,13,0,8,55
20260227_202608,./logs\run_20260227_202608.txt,1305457,0,2444,14,2777,1461,0,97,836,37,12092,0,21,24,49,208,0,963,1972,5831,2871,987,0,358,2920,166,557,226,3.355,0.5,83,18,18,145,4238,0.655,The Age of Iron,355,11,55,124,0,7,12,7,4,68
20260227_203758,./logs\run_20260227_203758.txt,1443608,0,2469,5,2739,2196,0,107,886,26,13626,0,12,39,18,220,0,949,1704,6050,3260,1083,0,470,2993,206,630,208,3.058,0.1,125,18,18,100,4935,0.555,The Age of Iron,422,45,43,186,0,2,15,0,2,33
20260227_205056,./logs\run_20260227_205056.txt,1357365,0,2469,0,2706,2077,0,113,869,14,13591,0,22,6,36,209,0,1052,1929,6296,3192,1174,0,363,3135,173,499,209,2.884,0.6,91,18,23,78,4783,0.566,The Age of Iron,417,33,58,168,0,0,13,0,9,48
20260227_210513,./logs\run_20260227_210513.txt,1363135,0,2456,15,2217,2800,0,91,668,31,5834,0,29,39,5,168,0,820,1551,5636,2933,1148,0,342,3190,190,540,207,2.842,0.4,105,18,18,119,5017,0.442,The Age of Iron,394,57,39,145,0,2,10,0,15,48
20260227_211403,./logs\run_20260227_211403.txt,1181385,0,2449,8,2510,1305,0,81,725,22,12634,0,42,19,12,238,0,923,1910,6034,2999,1124,0,407,3164,178,547,210,3.073,0.4,95,18,18,103,3815,0.658,The Age of Iron,408,38,59,130,4,4,12,0,2,75
20260227_212451,./logs\run_20260227_212451.txt,1225746,0,2488,10,2807,1799,0,92,778,30,10278,0,12,21,40,211,0,917,1683,5955,3107,1159,0,385,2905,214,664,212,3.103,0.2,99,18,23,113,4606,0.609,The Age of Iron,400,49,35,177,0,3,19,0,2,43
20260227_213528,./logs\run_20260227_213528.txt,1397078,0,2452,14,2763,2246,0,109,886,34,14707,0,9,48,71,260,0,1034,2044,6316,3058,1213,0,429,2926,163,524,213,3.215,0.2,93,18,18,176,5009,0.552,The Age of Iron,402,32,58,171,0,0,17,0,10,38
20260227_214911,./logs\run_20260227_214911.txt,1211734,0,2460,8,2596,1240,0,103,698,28,6221,0,8,14,12,170,0,793,1524,5695,3077,1092,0,408,3231,170,568,212,3.341,0.5,94,18,23,70,3836,0.677,The Age of Iron,411,40,70,110,0,0,17,0,0,74
20260227_215739,./logs\run_20260227_215739.txt,1335744,0,2454,20,2250,1901,0,120,657,26,5050,0,11,16,17,167,0,734,1494,5345,2893,951,0,417,3329,164,563,214,3.433,0.5,100,18,18,90,4151,0.542,The Age of Iron,415,47,99,103,2,0,28,0,4,56
